Animal ID,Name_Intake,DateTime_Intake,MonthYear_Intake,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Name_Outcome,DateTime_Outcome,MonthYear_Outcome,Date of Birth,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,Color_Outcome,binary_outcome
A705675,*Cowboy,06/20/2015 11:35:00 AM,06/20/2015 11:35:00 AM,Fm 973/Pearce Lane in Del Valle (TX),Stray,Normal,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,Brown/White,*Cowboy,07/02/2015 10:16:00 AM,07/02/2015 10:16:00 AM,06/20/2013,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,Brown/White,0.0
A665672,*Tulip,10/21/2013 03:19:00 PM,10/21/2013 03:19:00 PM,Outside Jurisdiction,Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie,*Tulip,11/03/2013 11:40:00 AM,11/03/2013 11:40:00 AM,04/21/2012,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie,0.0
A687012,Chloe,02/04/2016 01:42:00 PM,02/04/2016 01:42:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,3 years,Boxer/Great Dane,Black,Chloe,02/07/2016 02:54:00 PM,02/07/2016 02:54:00 PM,03/01/2012,Dog,Spayed Female,3 years,Boxer/Great Dane,Black,0.0
A713450,Koda,10/07/2015 10:39:00 AM,10/07/2015 10:39:00 AM,Austin (TX),Public Assist,Normal,Dog,Neutered Male,2 years,German Shepherd Mix,Tan/Black,Koda,10/07/2015 06:30:00 PM,10/07/2015 06:30:00 PM,10/07/2013,Dog,Neutered Male,2 years,German Shepherd Mix,Tan/Black,0.0
A717518,Cherry,12/09/2015 01:48:00 PM,12/09/2015 01:48:00 PM,1149 Ebert Ave in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Australian Cattle Dog Mix,Red/White,Cherry,12/13/2015 07:01:00 PM,12/13/2015 07:01:00 PM,10/09/2015,Dog,Spayed Female,2 months,Australian Cattle Dog Mix,Red/White,0.0
A721867,Sophie,03/06/2016 11:41:00 AM,03/06/2016 11:41:00 AM,Leander (TX),Owner Surrender,Normal,Dog,Intact Female,1 month,Australian Cattle Dog Mix,White/Brown,Sophie,03/08/2016 06:48:00 PM,03/08/2016 06:48:00 PM,01/06/2016,Dog,Spayed Female,2 months,Australian Cattle Dog Mix,White/Brown,0.0
A728879,Geri,06/09/2016 11:44:00 PM,06/09/2016 11:44:00 PM,4106 North Lamar Blvd in Austin (TX),Stray,Sick,Cat,Spayed Female,17 years,Domestic Shorthair Mix,Brown Tabby,Geri,06/11/2016 01:01:00 PM,06/11/2016 01:01:00 PM,06/10/1999,Cat,Spayed Female,17 years,Domestic Shorthair Mix,Brown Tabby,0.0
A732967,*Nellie,08/15/2016 03:42:00 PM,08/15/2016 03:42:00 PM,13300 Piland Triangle in Travis (TX),Stray,Normal,Dog,Intact Female,1 year,Pit Bull Mix,Brown/White,*Nellie,11/07/2016 04:40:00 PM,11/07/2016 04:40:00 PM,08/15/2015,Dog,Spayed Female,1 year,Pit Bull Mix,Brown/White,0.0
A761473,,11/05/2017 02:11:00 PM,11/05/2017 02:11:00 PM,928 East 54Th in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Siamese Mix,Lynx Point,,12/15/2017 07:47:00 AM,12/15/2017 07:47:00 AM,10/08/2017,Cat,Neutered Male,2 months,Siamese Mix,Lynx Point,0.0
A798368,,06/25/2019 11:15:00 AM,06/25/2019 11:15:00 AM,1709 Highway 71 East in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair,Orange Tabby/White,,06/30/2019 02:08:00 PM,06/30/2019 02:08:00 PM,04/18/2019,Cat,Neutered Male,2 months,Domestic Shorthair,Orange Tabby/White,0.0
A763578,Sasha,12/11/2017 12:35:00 PM,12/11/2017 12:35:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,2 months,Domestic Shorthair Mix,Tortie,Sasha,12/13/2017 12:37:00 PM,12/13/2017 12:37:00 PM,09/26/2017,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie,0.0
A761924,*Tabasco,11/11/2017 04:14:00 PM,11/11/2017 04:14:00 PM,6807 Starcrest Lane in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Medium Hair Mix,Black/White,*Tabasco,12/20/2017 08:09:00 AM,12/20/2017 08:09:00 AM,10/04/2017,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Black/White,0.0
A712044,*Owen,09/16/2015 10:55:00 AM,09/16/2015 10:55:00 AM,2816 E 12Th St in Austin (TX),Stray,Normal,Dog,Intact Male,2 months,German Shepherd/Labrador Retriever,Red/Black,*Owen,09/22/2015 06:09:00 PM,09/22/2015 06:09:00 PM,07/16/2015,Dog,Neutered Male,2 months,German Shepherd/Labrador Retriever,Red/Black,0.0
A776958,,07/21/2018 01:42:00 PM,07/21/2018 01:42:00 PM,18016 Marrow St in Travis (TX),Public Assist,Normal,Dog,Intact Female,3 years,Australian Shepherd Mix,Black/Brown,,08/03/2018 04:04:00 PM,08/03/2018 04:04:00 PM,07/21/2015,Dog,Intact Female,3 years,Australian Shepherd Mix,Black/Brown,0.0
A691031,Kako,10/29/2014 12:06:00 PM,10/29/2014 12:06:00 PM,Austin (TX),Euthanasia Request,Sick,Cat,Intact Female,3 months,Domestic Shorthair Mix,Black/White,Kako,11/01/2014 02:47:00 PM,11/01/2014 02:47:00 PM,07/29/2014,Cat,Intact Female,3 months,Domestic Shorthair Mix,Black/White,0.0
A762409,,11/20/2017 08:11:00 AM,11/20/2017 08:11:00 AM,Old Bee Caves Rd in Austin (TX),Stray,Sick,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,Brown/White,,11/20/2017 03:11:00 PM,11/20/2017 03:11:00 PM,11/20/2015,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,Brown/White,0.0
A692741,,11/24/2014 06:44:00 PM,11/24/2014 06:44:00 PM,9100 Evelyn Rd in Travis (TX),Stray,Normal,Cat,Intact Female,8 months,Domestic Shorthair Mix,Black,,11/25/2014 09:00:00 AM,11/25/2014 09:00:00 AM,03/24/2014,Cat,Intact Female,8 months,Domestic Shorthair Mix,Black,0.0
A748669,*Dolores,05/05/2017 11:21:00 AM,05/05/2017 11:21:00 AM,9505 Brians Path in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Torbie/White,*Dolores,06/14/2017 05:11:00 PM,06/14/2017 05:11:00 PM,04/10/2017,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie/White,0.0
A610260,Lucy,06/17/2017 06:48:00 PM,06/17/2017 06:48:00 PM,Spicewood Springs Rd And Reseach Blvd in Austin (TX),Stray,Normal,Dog,Spayed Female,5 years,Labrador Retriever/Rottweiler,Chocolate/Tan,Lucy,06/20/2017 11:44:00 AM,06/20/2017 11:44:00 AM,08/13/2011,Dog,Spayed Female,5 years,Labrador Retriever/Rottweiler,Chocolate/Tan,0.0
A678815,*Joli,05/13/2014 11:05:00 AM,05/13/2014 11:05:00 AM,14811 Bescott in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby/White,*Joli,06/19/2014 04:35:00 PM,06/19/2014 04:35:00 PM,04/06/2014,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby/White,0.0
A772782,,05/23/2018 01:55:00 PM,05/23/2018 01:55:00 PM,224 Dry Creek Rd in Travis (TX),Stray,Normal,Dog,Intact Female,2 months,Labrador Retriever Mix,Brown/White,,05/30/2018 06:55:00 PM,05/30/2018 06:55:00 PM,03/16/2018,Dog,Spayed Female,2 months,Labrador Retriever Mix,Brown/White,0.0
A751963,,06/16/2017 07:50:00 AM,06/16/2017 07:50:00 AM,Johnny Morrios & Loyola in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,Cocker Spaniel Mix,Black/Tan,,06/22/2017 06:27:00 PM,06/22/2017 06:27:00 PM,06/16/2014,Dog,Neutered Male,3 years,Cocker Spaniel Mix,Black/Tan,0.0
A807666,Nugget,10/28/2019 11:10:00 AM,10/28/2019 11:10:00 AM,408 Teri Road in Austin (TX),Stray,Normal,Dog,Intact Female,3 months,Pointer/Australian Cattle Dog,Tricolor,Nugget,11/03/2019 05:53:00 PM,11/03/2019 05:53:00 PM,07/28/2019,Dog,Spayed Female,3 months,Pointer/Australian Cattle Dog,Tricolor,0.0
A674107,*Fiona,03/07/2014 01:15:00 PM,03/07/2014 01:15:00 PM,7925 Hayride in Travis (TX),Stray,Aged,Dog,Spayed Female,10 years,Labrador Retriever Mix,Red/Black,*Fiona,03/14/2014 12:43:00 PM,03/14/2014 12:43:00 PM,03/07/2004,Dog,Spayed Female,10 years,Labrador Retriever Mix,Red/Black,0.0
A737481,*Molly,10/29/2016 02:09:00 PM,10/29/2016 02:09:00 PM,Red River St And E 48Th St in Austin (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Medium Hair Mix,Orange Tabby,*Molly,11/06/2016 01:20:00 PM,11/06/2016 01:20:00 PM,08/20/2016,Cat,Intact Female,2 months,Domestic Medium Hair Mix,Orange Tabby,0.0
A696950,,02/15/2015 11:18:00 AM,02/15/2015 11:18:00 AM,4503 Glomar Avenue in Austin (TX),Stray,Normal,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Tortie,,02/16/2015 09:00:00 AM,02/16/2015 09:00:00 AM,02/15/2013,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Tortie,0.0
A794696,*Lincoln,05/11/2019 10:55:00 AM,05/11/2019 10:55:00 AM,Burleson Manor in Manor (TX),Stray,Normal,Dog,Intact Male,2 years,Australian Cattle Dog,White/Red Merle,*Lincoln,05/22/2019 01:11:00 PM,05/22/2019 01:11:00 PM,05/11/2017,Dog,Intact Male,2 years,Australian Cattle Dog,White/Red Merle,0.0
A684570,Blue,07/25/2014 03:21:00 PM,07/25/2014 03:21:00 PM,Luna Dr in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Medium Hair Mix,Blue,Blue,10/18/2014 06:05:00 PM,10/18/2014 06:05:00 PM,06/28/2014,Cat,Neutered Male,3 months,Domestic Medium Hair Mix,Blue,0.0
A751098,,06/04/2017 11:44:00 AM,06/04/2017 11:44:00 AM,1301 West Pecan in Pflugerville (TX),Stray,Normal,Dog,Intact Female,2 months,Beagle Mix,Black/Tan,,06/08/2017 06:40:00 PM,06/08/2017 06:40:00 PM,03/27/2017,Dog,Spayed Female,2 months,Beagle Mix,Black/Tan,0.0
A722007,*Toby,03/09/2016 09:28:00 AM,03/09/2016 09:28:00 AM,Rundberg And N Ih 35 in Austin (TX),Stray,Injured,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,Tricolor,*Toby,07/29/2016 10:34:00 AM,07/29/2016 10:34:00 AM,03/09/2014,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tricolor,0.0
A770933,,04/27/2018 12:32:00 PM,04/27/2018 12:32:00 PM,Travis Heights Boulevard And East Riverside Drive in Austin (TX),Stray,Normal,Dog,Intact Male,8 years,Yorkshire Terrier Mix,Brown/Gray,,04/30/2018 04:20:00 PM,04/30/2018 04:20:00 PM,04/28/2010,Dog,Intact Male,8 years,Yorkshire Terrier Mix,Brown/Gray,0.0
A773004,*Boris,05/26/2018 11:39:00 AM,05/26/2018 11:39:00 AM,Highway 290 And Arterial A in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Tricolor/Cream,*Boris,05/31/2018 03:30:00 PM,05/31/2018 03:30:00 PM,05/26/2017,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tricolor/Cream,0.0
A737750,*Karissa,11/03/2016 06:13:00 PM,11/03/2016 06:13:00 PM,1221 W Ben White Blvd in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby,*Karissa,11/10/2016 06:28:00 PM,11/10/2016 06:28:00 PM,09/18/2016,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby,0.0
A784029,Bella,11/10/2018 01:55:00 PM,11/10/2018 01:55:00 PM,9400 Crown Ridge Dr in Austin (TX),Stray,Injured,Dog,Intact Female,5 years,Toy Fox Terrier Mix,White/Brown,Bella,11/14/2018 02:28:00 PM,11/14/2018 02:28:00 PM,11/10/2013,Dog,Intact Female,5 years,Toy Fox Terrier Mix,White/Brown,0.0
A585942,Jack,10/27/2013 03:59:00 PM,10/27/2013 03:59:00 PM,2700 Gracie Farms Ln in Austin (TX),Stray,Normal,Dog,Neutered Male,8 years,Rat Terrier Mix,White/Brown,Jack,02/22/2014 05:24:00 PM,02/22/2014 05:24:00 PM,10/01/2005,Dog,Neutered Male,8 years,Rat Terrier Mix,White/Brown,0.0
A775809,,07/05/2018 10:59:00 AM,07/05/2018 10:59:00 AM,West 26Th Street And Nueces Street in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Siamese Mix,Tortie Point,,07/05/2018 02:51:00 PM,07/05/2018 02:51:00 PM,05/05/2018,Cat,Intact Female,1 month,Siamese Mix,Tortie Point,0.0
A795311,,05/19/2019 12:21:00 PM,05/19/2019 12:21:00 PM,5701 South Congress Avenue in Austin (TX),Stray,Normal,Cat,Unknown,2 years,Domestic Shorthair,Blue/White,,05/23/2019 12:00:00 AM,05/23/2019 12:00:00 AM,05/19/2017,Cat,Unknown,2 years,Domestic Shorthair,Blue/White,0.0
A788484,Layla,03/02/2019 04:33:00 PM,03/02/2019 04:33:00 PM,Outside Jurisdiction,Owner Surrender,Normal,Dog,Spayed Female,1 year,Siberian Husky,White,Layla,03/02/2019 07:17:00 PM,03/02/2019 07:17:00 PM,02/03/2018,Dog,Spayed Female,1 year,Siberian Husky,White,0.0
A691716,Shiloh,11/30/2014 11:46:00 AM,11/30/2014 11:46:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,5 years,Labrador Retriever Mix,Black/White,Shiloh,12/04/2014 05:02:00 PM,12/04/2014 05:02:00 PM,11/08/2009,Dog,Spayed Female,5 years,Labrador Retriever Mix,Black/White,0.0
A737721,,11/03/2016 11:55:00 AM,11/03/2016 11:55:00 AM,11602 Prairie Hen in Austin (TX),Stray,Normal,Dog,Intact Female,4 months,Chihuahua Shorthair Mix,Black/White,,11/05/2016 05:28:00 PM,11/05/2016 05:28:00 PM,07/03/2016,Dog,Intact Female,4 months,Chihuahua Shorthair Mix,Black/White,0.0
A687302,Rusty,09/03/2014 11:42:00 AM,09/03/2014 11:42:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,3 years,Australian Cattle Dog,Black/Tan,Rusty,09/09/2014 09:53:00 AM,09/09/2014 09:53:00 AM,06/07/2011,Dog,Neutered Male,3 years,Australian Cattle Dog,Black/Tan,1.0
A743066,Belle,12/26/2017 11:01:00 AM,12/26/2017 11:01:00 AM,Webberville Road And Goodwin Avenue in Austin (TX),Stray,Normal,Dog,Spayed Female,4 years,German Shepherd Mix,White,Belle,12/26/2017 11:47:00 AM,12/26/2017 11:47:00 AM,02/03/2013,Dog,Spayed Female,4 years,German Shepherd Mix,White,0.0
A797766,*Louise,06/17/2019 03:07:00 PM,06/17/2019 03:07:00 PM,6808 South Ih 35 in Austin (TX),Stray,Normal,Dog,Intact Female,6 months,Labrador Retriever Mix,Tan/White,*Louise,06/28/2019 10:27:00 AM,06/28/2019 10:27:00 AM,11/17/2018,Dog,Intact Female,7 months,Labrador Retriever Mix,Tan/White,0.0
A783358,*Prince,10/29/2018 02:47:00 PM,10/29/2018 02:47:00 PM,Harris Branch Boulevard And Parmer Lane in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,German Shepherd Mix,Black/Tan,*Prince,11/25/2018 05:47:00 PM,11/25/2018 05:47:00 PM,10/29/2016,Dog,Neutered Male,2 years,German Shepherd Mix,Black/Tan,0.0
A789296,Calypso,02/18/2019 06:49:00 PM,02/18/2019 06:49:00 PM,6800 Mcneil Drive in Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,10 years,Domestic Longhair Mix,White/Gray,Calypso,12/07/2019 11:18:00 AM,12/07/2019 11:18:00 AM,02/18/2009,Cat,Spayed Female,10 years,Domestic Longhair Mix,White/Gray,0.0
A628569,Bevo,09/16/2014 11:22:00 AM,09/16/2014 11:22:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Orange Tabby,Bevo,09/17/2014 02:07:00 PM,09/17/2014 02:07:00 PM,04/24/2012,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Orange Tabby,0.0
A755864,Luna,08/10/2017 07:34:00 AM,08/10/2017 07:34:00 AM,7201 Levander Loop in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Chihuahua Shorthair Mix,Tricolor,Luna,08/14/2017 05:07:00 PM,08/14/2017 05:07:00 PM,08/10/2016,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tricolor,0.0
A768197,*Velveeta,03/14/2018 03:11:00 PM,03/14/2018 03:11:00 PM,818 Wagon in Austin (TX),Stray,Injured,Dog,Spayed Female,2 years,Labrador Retriever Mix,Chocolate,*Velveeta,05/02/2018 03:37:00 PM,05/02/2018 03:37:00 PM,03/14/2016,Dog,Spayed Female,2 years,Labrador Retriever Mix,Chocolate,0.0
A746431,,04/03/2017 08:26:00 AM,04/03/2017 08:26:00 AM,S Pleasant Valley Rd & E William Cannon Dr in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Labrador Retriever Mix,Black,,04/07/2017 05:41:00 PM,04/07/2017 05:41:00 PM,10/07/2015,Dog,Spayed Female,1 year,Labrador Retriever Mix,Black,0.0
A745760,Spike,08/18/2017 11:09:00 AM,08/18/2017 11:09:00 AM,13635 Rutledge Spur in Travis (TX),Stray,Normal,Dog,Neutered Male,6 years,Dachshund Mix,Brown/White,Spike,08/23/2017 06:42:00 PM,08/23/2017 06:42:00 PM,03/23/2011,Dog,Neutered Male,6 years,Dachshund Mix,Brown/White,0.0
A669385,*Ashleigh,12/19/2013 03:41:00 PM,12/19/2013 03:41:00 PM,Lamar And Rundberg in Austin (TX),Stray,Normal,Dog,Spayed Female,3 years,Australian Kelpie Mix,Black,*Ashleigh,01/01/2014 06:34:00 PM,01/01/2014 06:34:00 PM,12/19/2010,Dog,Spayed Female,3 years,Australian Kelpie Mix,Black,0.0
A805250,Niri,09/24/2019 02:34:00 PM,09/24/2019 02:34:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,6 years,Domestic Shorthair,Brown Tabby/White,Niri,09/25/2019 03:31:00 PM,09/25/2019 03:31:00 PM,09/24/2013,Cat,Intact Female,6 years,Domestic Shorthair,Brown Tabby/White,0.0
A729912,Snoopy,06/25/2016 02:07:00 PM,06/25/2016 02:07:00 PM,W William Cannon Dr & S 1St St in Austin (TX),Stray,Normal,Dog,Neutered Male,6 years,Dachshund,White/Brown,Snoopy,06/29/2016 06:59:00 PM,06/29/2016 06:59:00 PM,06/25/2010,Dog,Neutered Male,6 years,Dachshund,White/Brown,0.0
A701835,,05/05/2015 11:09:00 AM,05/05/2015 11:09:00 AM,1148 Miss Kimberly'S Ln in Pflugerville (TX),Stray,Normal,Cat,Unknown,6 days,Domestic Shorthair Mix,Black,,05/05/2015 01:26:00 PM,05/05/2015 01:26:00 PM,04/29/2015,Cat,Unknown,6 days,Domestic Shorthair Mix,Black,0.0
A647241,Blacky,10/09/2016 03:57:00 PM,10/09/2016 03:57:00 PM,William Cannon And I 35 in Austin (TX),Stray,Normal,Dog,Intact Male,5 years,German Shepherd Mix,Black,Blacky,10/09/2016 05:38:00 PM,10/09/2016 05:38:00 PM,10/09/2011,Dog,Intact Male,5 years,German Shepherd Mix,Black,0.0
A745790,Princess,03/24/2017 09:52:00 AM,03/24/2017 09:52:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,4 years,Chihuahua Longhair Mix,Red/Black,Princess,03/25/2017 11:29:00 AM,03/25/2017 11:29:00 AM,03/24/2013,Dog,Intact Female,4 years,Chihuahua Longhair Mix,Red/Black,0.0
A682936,,07/05/2014 08:02:00 AM,07/05/2014 08:02:00 AM,4508 Duval Rd in Austin (TX),Stray,Nursing,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,White/Brown Tabby,,07/05/2014 12:42:00 PM,07/05/2014 12:42:00 PM,06/20/2014,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,White/Brown Tabby,0.0
A810536,Thor,12/15/2019 11:48:00 AM,12/15/2019 11:48:00 AM,13812 Lazyridge Dr in Travis (TX),Stray,Normal,Dog,Intact Male,1 month,Rottweiler/Plott Hound,Black/Brown,Thor,12/19/2019 05:26:00 PM,12/19/2019 05:26:00 PM,10/15/2019,Dog,Neutered Male,2 months,Rottweiler/Plott Hound,Black/Brown,0.0
A803156,,08/28/2019 11:29:00 AM,08/28/2019 11:29:00 AM,4414 Magin Meadow Drive in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair,Tortie,,08/31/2019 04:43:00 PM,08/31/2019 04:43:00 PM,08/28/2018,Cat,Intact Female,1 year,Domestic Shorthair,Tortie,0.0
A732240,,08/04/2016 03:58:00 PM,08/04/2016 03:58:00 PM,12405 Alameda Trace Cir in Austin (TX),Stray,Normal,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Black/White,,08/04/2016 07:04:00 PM,08/04/2016 07:04:00 PM,07/13/2016,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Black/White,0.0
A697352,Toto,02/22/2015 11:20:00 AM,02/22/2015 11:20:00 AM,Research Blvd & Ohlen Rd in Austin (TX),Stray,Normal,Dog,Neutered Male,9 months,Chihuahua Shorthair/Miniature Pinscher,Brown,Toto,02/22/2015 02:07:00 PM,02/22/2015 02:07:00 PM,05/22/2014,Dog,Neutered Male,9 months,Chihuahua Shorthair/Miniature Pinscher,Brown,0.0
A683120,,07/07/2014 03:04:00 PM,07/07/2014 03:04:00 PM,Debba Dr And Red Fox Rd in Lakeway (TX),Stray,Normal,Cat,Intact Male,2 months,Siamese Mix,Lynx Point,,07/08/2014 11:56:00 AM,07/08/2014 11:56:00 AM,04/15/2014,Cat,Intact Male,2 months,Siamese Mix,Lynx Point,0.0
A801221,*Alison,08/01/2019 02:43:00 PM,08/01/2019 02:43:00 PM,7201 Levander Loop in Austin (TX),Stray,Normal,Cat,Intact Female,5 years,Domestic Medium Hair,Brown Tabby,*Alison,08/26/2019 02:54:00 PM,08/26/2019 02:54:00 PM,08/01/2014,Cat,Intact Female,5 years,Domestic Medium Hair,Brown Tabby,0.0
A664857,,10/10/2013 07:47:00 AM,10/10/2013 07:47:00 AM,Old Bee Caves And Hwy 71 in Austin (TX),Stray,Normal,Cat,Intact Male,6 months,Domestic Shorthair Mix,Black/White,,10/14/2013 05:34:00 PM,10/14/2013 05:34:00 PM,04/10/2013,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Black/White,0.0
A679935,Corey,05/28/2014 12:02:00 PM,05/28/2014 12:02:00 PM,9500 S Chisholm Trl in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Snowshoe Mix,Chocolate Point/White,Corey,06/01/2014 05:34:00 PM,06/01/2014 05:34:00 PM,03/28/2014,Cat,Neutered Male,2 months,Snowshoe Mix,Chocolate Point/White,0.0
A701287,,04/27/2015 11:08:00 AM,04/27/2015 11:08:00 AM,7402 Ladybug in Austin (TX),Stray,Normal,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Calico,,04/27/2015 01:33:00 PM,04/27/2015 01:33:00 PM,04/12/2015,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Calico,0.0
A680862,,06/09/2014 11:40:00 AM,06/09/2014 11:40:00 AM,2000 N. Ih35 in Austin (TX),Stray,Normal,Bird,Unknown,2 weeks,Duck,Yellow/Black,,06/10/2014 12:00:00 AM,06/10/2014 12:00:00 AM,05/25/2014,Bird,Unknown,2 weeks,Duck,Yellow/Black,0.0
A736653,Babaloo,10/14/2016 03:58:00 PM,10/14/2016 03:58:00 PM,1009 Edgecliff Terrace in Austin (TX),Public Assist,Other,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White,Babaloo,10/17/2016 11:22:00 AM,10/17/2016 11:22:00 AM,10/14/2014,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White,0.0
A780836,Isabeau,09/20/2018 05:00:00 PM,09/20/2018 05:00:00 PM,1900 Bluebonnet Lane in Austin (TX),Stray,Normal,Dog,Intact Female,4 weeks,Pit Bull Mix,Fawn,Isabeau,10/23/2018 03:00:00 PM,10/23/2018 03:00:00 PM,08/21/2018,Dog,Spayed Female,2 months,Pit Bull Mix,Fawn,0.0
A672159,*Allison,02/05/2014 10:58:00 AM,02/05/2014 10:58:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Torbie,*Allison,03/29/2014 12:17:00 PM,03/29/2014 12:17:00 PM,12/21/2013,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Torbie,0.0
A753933,Pepper,07/13/2017 11:30:00 AM,07/13/2017 11:30:00 AM,East Riverside And Frontier Valley in Austin (TX),Stray,Normal,Dog,Intact Male,7 months,Beagle Mix,Black,Pepper,07/18/2017 05:41:00 PM,07/18/2017 05:41:00 PM,11/13/2016,Dog,Neutered Male,8 months,Beagle Mix,Black,0.0
A802999,,08/25/2019 10:58:00 PM,08/25/2019 10:58:00 PM,13838 The Lakes in Travis (TX),Public Assist,Normal,Other,Unknown,1 year,Bat,Brown,,08/26/2019 12:09:00 PM,08/26/2019 12:09:00 PM,08/25/2018,Other,Unknown,1 year,Bat,Brown,1.0
A806602,*Nutmeg,10/13/2019 10:57:00 AM,10/13/2019 10:57:00 AM,12118 Walnut Park Crossing in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Australian Cattle Dog Mix,White/Brown,*Nutmeg,11/26/2019 03:59:00 PM,11/26/2019 03:59:00 PM,08/22/2019,Dog,Spayed Female,3 months,Australian Cattle Dog Mix,White/Brown,0.0
A687441,Tugboat,09/05/2014 11:34:00 AM,09/05/2014 11:34:00 AM,Cedar Park (TX),Public Assist,Normal,Dog,Neutered Male,3 years,English Bulldog Mix,Brown/White,Tugboat,09/12/2014 11:49:00 AM,09/12/2014 11:49:00 AM,09/05/2011,Dog,Neutered Male,3 years,English Bulldog Mix,Brown/White,0.0
A666600,,11/04/2013 01:40:00 PM,11/04/2013 01:40:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,0 years,Beagle/Chihuahua Shorthair,White,,11/04/2013 02:54:00 PM,11/04/2013 02:54:00 PM,11/04/2013,Dog,Intact Male,0 years,Beagle/Chihuahua Shorthair,White,0.0
A760944,Skelly,10/26/2017 02:04:00 PM,10/26/2017 02:04:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,3 months,Domestic Shorthair Mix,Black/White,Skelly,10/30/2017 05:19:00 PM,10/30/2017 05:19:00 PM,07/26/2017,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black/White,0.0
A780262,,09/12/2018 10:20:00 AM,09/12/2018 10:20:00 AM,1411 Baronets Trail in Austin (TX),Stray,Normal,Cat,Neutered Male,9 years,Domestic Shorthair Mix,Brown Tabby,,09/15/2018 02:42:00 PM,09/15/2018 02:42:00 PM,09/12/2009,Cat,Neutered Male,9 years,Domestic Shorthair Mix,Brown Tabby,0.0
